activity_arm,ISO/TS 10303-1047
via_component_arm,ISO/TS 10303-1754
wireframe_2d_arm,ISO/TS 10303-1347
working_draft_system_engineering_arm,ISO/TS 10303-1465
work_management_arm,ISO/TS 10303-1135
work_order_arm,ISO/TS 10303-1043
work_order_characterized_arm,ISO/TS 10303-1286
work_output_arm,ISO/TS 10303-1300
work_output_characterized_arm,ISO/TS 10303-1301
work_request_arm,ISO/TS 10303-1042
work_request_characterized_arm,ISO/TS 10303-1285
work_structure_arm,ISO/TS 10303-1438
zonal_breakdown_arm,ISO/TS 10303-1217
